Department,Category,Sub Category 1,Sub Category 2
Spare Parts,Tortilla Press Star ,TP02CF Hot plate - Top,
Spare Parts,Tortilla Press Star ,TP03CF Spring - Right,
Spare Parts,Tortilla Press Star ,TP04CF Knob,
Spare Parts,Tortilla Press Star ,TP05CF Spring - Left,
Spare Parts,Tortilla Press Star ,TP06CF Heater - TOP,
Spare Parts,Tortilla Press Star ,TP07CF Heater - Bottom,
Spare Parts,Tortilla Press Waring ,TP01WR Thermostat,
Spare Parts,Tortilla Press Waring ,TP02WR Leg Bushes,
Spare Parts,Tortilla Press Waring ,TP03WR High limit swith,
Spare Parts,Trolley Spire Kitchen Solutions ,TR01SK Trolley Wheel - Set of 4,
Spare Parts,Under Counter Chiller Trufrost ,UCC01TF Gasket,
Spare Parts,Under Counter Chiller Trufrost ,UCC02TF FAN MOTOR - Evoporator,
Spare Parts,Under Counter Chiller Trufrost ,UCC03TF CONTROLLER - Dixel,
Spare Parts,Under Counter Chiller Trufrost ,UCC04TF Hinges - Door,
Spare Parts,Under Counter Chiller Trufrost ,UCC05TF Fan motor - Condensor,
Spare Parts,Under Counter Freezer Celfrost ,UCF01CF Dixel & Subzero controller,
Spare Parts,Under Counter Freezer Celfrost ,UCF02CF Door hinges,
Spare Parts,Under Counter Freezer Celfrost ,UCF03CF Cooling fan motor,
Spare Parts,Under Counter Freezer Celfrost ,UCF04CF Condensor fan motor,
Spare Parts,Under Counter Freezer Celfrost ,UCF05CF Heater,
Spare Parts,Under Counter Freezer Celfrost ,UCF06CF Relay,
Spare Parts,Under Counter Freezer Celfrost ,UCF07CF Blower Motor,
Spare Parts,Under Counter Freezer Celfrost ,UCF08CF Blower blade,
Spare Parts,Under Counter Freezer Celfrost ,UCF09CF Gasket,
Spare Parts,Under Counter Freezer Celfrost ,UCF10CF Q Motor,
Spare Parts,Under Counter Freezer Celfrost ,"UCF11CF Excel Fan Motor 4x4""",
Spare Parts,Under Counter Freezer Trufrost ,UCF01TF Dixel & Subzero controller,
Spare Parts,Under Counter Freezer Trufrost ,UCF02TF Door hing,
Spare Parts,Under Counter Freezer Trufrost ,UCF03TF Cooling fan motor,
Spare Parts,Under Counter Freezer Trufrost ,UCF04TF Condensor fan motor,
Spare Parts,Under Counter Freezer Trufrost ,UCF05TF Heater,
Spare Parts,Under Counter Freezer Trufrost ,UCF06TF Relay,
Spare Parts,Under Counter Freezer Trufrost ,UCF07TF Blower Motor,
Spare Parts,Under Counter Freezer Trufrost ,UCF08TF Blower blade,
Spare Parts,Under Counter Freezer Trufrost ,UCF09TF Gasket,
Spare Parts,Under Counter Freezer Trufrost ,UCF101TF Gasket,
Spare Parts,Under Counter Freezer Trufrost ,UCF102TF FAN MOTOR - Evoporator,
Spare Parts,Under Counter Freezer Trufrost ,UCF103TF CONTROLLER - Dixel,
Spare Parts,Under Counter Freezer Trufrost ,UCF104TF Hinges - Door,
Spare Parts,Under Counter Freezer Trufrost ,UCF105TF Fan motor - Condensor,
Spare Parts,Visi Cooler Celfrost ,VC01CFLL Front door hinges left lower,
Spare Parts,Visi Cooler Celfrost ,VC01CFLU Front door hinges left upper,
Spare Parts,Visi Cooler Celfrost ,VC01CFRL Front door hinges right lower,
Spare Parts,Visi Cooler Celfrost ,VC01CFRU Front door hinges right upper,
Spare Parts,Visi Cooler Celfrost ,VC02CF Door frame,
Spare Parts,Visi Cooler Celfrost ,VC03CF Gasket,
Spare Parts,Visi Cooler Celfrost ,VC04CF Door Hinges,
Spare Parts,Visi Cooler Celfrost ,VC05CF Strip LED light,
Spare Parts,Visi Cooler Celfrost ,VC06CF Condensor,
Spare Parts,Visi Cooler Celfrost ,VC07CF Condensor fan,
Spare Parts,Visi Cooler Celfrost ,VC08CF Cooling can,
Spare Parts,Visi Cooler Celfrost ,VC09CF Cooling coil,
Spare Parts,Visi Cooler Celfrost ,VC10CF Door closer,
Spare Parts,Weighing Scale - 150 Kg Essae ,WSB01AWS Power Chord,
Spare Parts,Weighing Scale - 150 Kg Essae ,WSB02AWS Battery 6 V,
Spare Parts,Weighing Scale - 150 Kg Essae ,WSB03AWS Load Shell - 150 Kg,
Spare Parts,Weighing Scale - 6 Kg Essae ,WSS01AWS Load Shell - 6 Kg,
Spare Parts,Weighing Scale - 6 Kg Essae ,WSS02AWS Battery 6 V,
Spare Parts,Weighing Scale - 6 Kg Essae ,WSS03AWS Battery Cover,
Maintenance,AC ,Cleaning,
Maintenance,AC ,Cooling,
Maintenance,AC ,Display,
Maintenance,AC ,Not Getting On,
Maintenance,AC ,Remote,
Maintenance,AC ,Water Leakage,
Maintenance,AirCurtain ,Noisy,
Maintenance,AirCurtain ,Not getting on,
Maintenance,AirCurtain ,Sensor issue,
Maintenance,Biometric ,Not getting on,
Maintenance,Booth/Bench ,Laminate Peeling,
Maintenance,Booth/Bench ,Open Gap,
Maintenance,Booth/Bench ,Polishing,
Maintenance,Booth/Bench ,Upholstery,
Maintenance,Chair ,Broken,
Maintenance,Chair ,Loose Joints,
Maintenance,Chair ,Other,
Maintenance,Chair ,Upholstery,
Maintenance,Chair ,Wobbling,
Maintenance,ChestFreezer ,Door Broken,
Maintenance,ChestFreezer ,Gasket Broken,
Maintenance,ChestFreezer ,Ice Formation,
Maintenance,ChestFreezer ,Not Cooling at all,
Maintenance,ChestFreezer ,Not getting on,
Maintenance,ChestFreezer ,Required temp not met,
Maintenance,ChestFreezer ,SS cladding,
Maintenance,ChestFreezer ,Water Leakage,
Maintenance,Civil ,Broken Tiles,
Maintenance,Civil ,Drain Chamber issue,
Maintenance,Civil ,Gap Closure,
Maintenance,Civil ,Masonary,
Maintenance,Civil ,Painting,
Maintenance,Civil ,Polishing,
Maintenance,Civil ,SS cladding,
Maintenance,Civil ,Tiling,
Maintenance,Civil ,Wall Hanging,
Maintenance,ColdBainMarie-ColdLine ,Display Issue,
Maintenance,ColdBainMarie-ColdLine ,Door Broken,
Maintenance,ColdBainMarie-ColdLine ,Door Issue,
Maintenance,ColdBainMarie-ColdLine ,Gasket,
Maintenance,ColdBainMarie-ColdLine ,Ice Formation,
Maintenance,ColdBainMarie-ColdLine ,Not Cooling at all,
Maintenance,ColdBainMarie-ColdLine ,Not getting on,
Maintenance,ColdBainMarie-ColdLine ,Required temp not met,
Maintenance,ColdRoom ,Display Issue,
Maintenance,ColdRoom ,Door Issue,
Maintenance,ColdRoom ,Gasket Broken,
Maintenance,ColdRoom ,Ice Formation,
Maintenance,ColdRoom ,Not Cooling at all,
Maintenance,ColdRoom ,Required temp not met,
Maintenance,ColdRoom ,Strip curtains,
Maintenance,ColdRoom ,Water Leakage,
Maintenance,DG ,Display Issue,
Maintenance,DG ,Not getting on,
Maintenance,DG ,Running Continuously,
Maintenance,DG ,Turning Off,
Maintenance,Drawer/WoodenCabinet ,Channel Issue,
Maintenance,Drawer/WoodenCabinet ,Handle,
Maintenance,Drawer/WoodenCabinet ,Hinges issue,
Maintenance,Drawer/WoodenCabinet ,Laminate Peeling,
Maintenance,Drawer/WoodenCabinet ,Lock issue,
Maintenance,Drawer/WoodenCabinet ,Shelf ,
Maintenance,Electrical/DBBoard ,Equipment Shock,
Maintenance,Electrical/DBBoard ,Labelling,
Maintenance,Electrical/DBBoard ,MCB Tripping,
Maintenance,Electrical/DBBoard ,Wire Covering,
Maintenance,ElectricFryer ,Buzzer is not working ,
Maintenance,ElectricFryer ,Fire Coming Out,
Maintenance,ElectricFryer ,Not getting on,
Maintenance,ElectricFryer ,Oil Leakage,
Maintenance,ElectricFryer ,Temp Issue,
Maintenance,Exhaust/FreshAir/Airwasher ,Air Balancing,
Maintenance,Exhaust/FreshAir/Airwasher ,Cooling,
Maintenance,Exhaust/FreshAir/Airwasher ,Noisy,
Maintenance,Exhaust/FreshAir/Airwasher ,Not getting on,
Maintenance,Exhaust/FreshAir/Airwasher ,Oil Dripping,
Maintenance,Exhaust/FreshAir/Airwasher ,Water Leakage,
Maintenance,Exhaust/FreshAir/Airwasher ,Weak Airflow,
Maintenance,ExhaustHood/SS Equipments/SS Tables/ SS Racks /SneezeGuard ,Bushes ,
Maintenance,ExhaustHood/SS Equipments/SS Tables/ SS Racks /SneezeGuard ,Exhuast hood - Filter Fixing ,
Maintenance,ExhaustHood/SS Equipments/SS Tables/ SS Racks /SneezeGuard ,Fixing ,
Maintenance,ExhaustHood/SS Equipments/SS Tables/ SS Racks /SneezeGuard ,Requirement ,
Maintenance,FAS/GLDSystem ,Leakage is not getting Detected,
Maintenance,FAS/GLDSystem ,Not working,
Maintenance,FireExtinguisher/FireSafety ,Empty,
Maintenance,FireExtinguisher/FireSafety ,Expired,
Maintenance,FireExtinguisher/FireSafety ,Fire Blanket,
Maintenance,FireExtinguisher/FireSafety ,Hood Supression Expired,
Maintenance,FireExtinguisher/FireSafety ,Stand Required,
Maintenance,FireExtinguisher/FireSafety ,Tag Missing,
Maintenance,FireExtinguisher/FireSafety ,Wall Hanging,
Maintenance,GasBurner ,Balancing,
Maintenance,GasBurner ,Burner Grid damaged,
Maintenance,GasBurner ,Burner Leakage,
Maintenance,GasBurner ,Flame Issues,
Maintenance,GasBurner ,Gas Pipe Leakage,
Maintenance,GasBurner ,Needs Service,
Maintenance,GasFryer ,Fire Coming Out,
Maintenance,GasFryer ,Gas Pipe Leakage,
Maintenance,GasFryer ,Not getting on,
Maintenance,GasFryer ,Oil Leakage,
Maintenance,GasFryer ,Temp Issue,
Maintenance,GasLeakage/Pressuure/ Gas line /Bank ,Gas Line Leakage,
Maintenance,GasLeakage/Pressuure/ Gas line /Bank ,Gas Line Painting,
Maintenance,GasLeakage/Pressuure/ Gas line /Bank ,Gas not getting in Store ,
Maintenance,GasLeakage/Pressuure/ Gas line /Bank ,Gas pressure issue ,
Maintenance,GasLeakage/Pressuure/ Gas line /Bank ,Gas Regulator Issue ,
Maintenance,GasLeakage/Pressuure/ Gas line /Bank ,Meter Guage Issue,
Maintenance,Geyser ,Geyser Leakage,
Maintenance,Geyser ,Not getting on,
Maintenance,Geyser ,Pipe Leakage,
Maintenance,Geyser ,Temp Issue,
Maintenance,GlassDoor/Doors ,Glass door Gap,
Maintenance,GlassDoor/Door ,Glass Door Handle,
Maintenance,GlassDoor/Door ,Glass Door Lock,
Maintenance,GlassDoor/Door ,Door not closing,
Maintenance,GlassDoor/Door ,Door Chipping,
Maintenance,GlassDoor/Door ,Door Handle,
Maintenance,GlassDoor/Door ,Door Lock,
Maintenance,GreaseTrap ,Broken,
Maintenance,GreaseTrap ,Leaking,
Maintenance,GreaseTrap ,Missing Filter,
Maintenance,GreaseTrap ,Missing Lid,
Maintenance,GreaseTrap ,Not working,
Maintenance,GreaseTrap ,Valve Issue ,
Maintenance,Grinder/Mixer ,Not Getting Grinding,
Maintenance,Grinder/Mixer ,Not working,
Maintenance,HotBainMarie-Hotline ,Divider issue,
Maintenance,HotBainMarie-Hotline ,Leaking,
Maintenance,HotBainMarie-Hotline ,Leg Bushes,
Maintenance,HotBainMarie-Hotline ,Not getting on,
Maintenance,HotBainMarie-Hotline ,On  - Heater not working ,
Maintenance,HotBainMarie-Hotline ,Shock,
Maintenance,HotBainMarie-Hotline ,Temp Issue,
Maintenance,HotCabinet ,Castor Wheel ,
Maintenance,HotCabinet ,Door Not Closing,
Maintenance,HotCabinet ,Gaskets,
Maintenance,HotCabinet ,Not getting on,
Maintenance,HotCabinet ,Shock ,
Maintenance,HotCabinet ,Temp Issue,
Maintenance,InductionCookTop ,Glass Broken,
Maintenance,InductionCookTop ,Heating Issue,
Maintenance,InductionCookTop ,Not getting on,
Maintenance,InductionCookTop ,Shock,
Maintenance,InductionCookTop ,Switch/Buttons,
Maintenance,JuiceDispenser ,Broken Jar/Lid,
Maintenance,JuiceDispenser ,Broken Nozzle/Tap,
Maintenance,JuiceDispenser ,Leaking,
Maintenance,JuiceDispenser ,Not Cooling,
Maintenance,JuiceDispenser ,Not Fixing properly ,
Maintenance,JuiceDispenser ,Not getting on,
Maintenance,Lights ,fascade Downlights,
Maintenance,Lights ,Grazer lights ,
Maintenance,Lights ,Hanging Light,
Maintenance,Lights ,LED Bulbs,
Maintenance,Lights ,LED Strip,
Maintenance,Lights ,Need to fix properly ,
Maintenance,Lights ,Serving Line Light,
Maintenance,Lights ,Track Light,
Maintenance,Lights ,Tube Light,
Maintenance,MarketingBoards/Standees/OrderHereBoard/Tito ,Welding ,
Maintenance,MerryChef ,Display Issue,
Maintenance,MerryChef ,Filter issue ,
Maintenance,MerryChef ,Noisy,
Maintenance,MerryChef ,Not getting on,
Maintenance,MerryChef ,Temp Issue,
Maintenance,Mirror ,Broken ,
Maintenance,MultiKitchenTimers ,Not Functioning,
Maintenance,MultiKitchenTimers ,Not getting on,
Maintenance,MusicSystem/Speaker ,Amplifier Not Working,
Maintenance,MusicSystem/Speaker ,Muffled Sound,
Maintenance,MusicSystem/Speaker ,Not getting on,
Maintenance,MusicSystem/Speaker ,Remote issue,
Maintenance,MusicSystem/Speaker ,Speaker Not Working,
Maintenance,MusicSystem/Speaker ,Uneven Sound,
Maintenance,Others ,Others,
Maintenance,PestoFlash ,Light Not Working,
Maintenance,PestoFlash ,Not working ,
Maintenance,PestoFlash ,Light Not Working,
Maintenance,PestoFlash ,Need Gum Pad,
Maintenance,PestoFlash ,Need to Shift,
Maintenance,PestoFlash ,Not getting on,
Maintenance,PlugPoint/MCB ,Customer Plug Point,
Maintenance,PlugPoint/MCB ,Industrial Sockets Issue,
Maintenance,PlugPoint/MCB ,Kitchen Plug Point,
Maintenance,PlugPoint/MCB ,MCB is tripping ,
Maintenance,PlugPoint/MCB ,Need Extra Connection Points ,
Maintenance,PlugPoint/MCB ,Switch board Issue,
Maintenance,PlugPoint/MCB ,Wlan Port issue,
Maintenance,Plumbing ,3 Sink Pipe Leakage,
Maintenance,Plumbing ,3 Sink Pipe line Block,
Maintenance,Plumbing ,Main Drain Choked,
Maintenance,Plumbing ,Raw Water is not coming ,
Maintenance,Plumbing ,Raw Water is slow ,
Maintenance,Plumbing ,Seepage issue,
Maintenance,Plumbing ,Wash Basin Issue,
Maintenance,PressureCooker ,Gasket issue,
Maintenance,PressureCooker ,Handle Issue ,
Maintenance,PressureCooker ,Leakage ,
Maintenance,PressureCooker ,Not Cooking Properly ,
Maintenance,PressureCooker ,Safety valve need to fix,
Maintenance,PressureCooker ,Whistle Top,
Maintenance,RiceCooker ,Auto-Warm Not Working,
Maintenance,RiceCooker ,Broken Lid/Handle,
Maintenance,RiceCooker ,Gas Pipe Leakage,
Maintenance,RiceCooker ,Not getting on,
Maintenance,RiceCooker ,Over heating ,
Maintenance,RiceCooker ,Rice Not cooking Properly ,
Maintenance,RiceCooker ,Shock,
Maintenance,RobotCoupe ,Blade - 15mm Dice,
Maintenance,RobotCoupe ,Blade - 15mm Slice,
Maintenance,RobotCoupe ,Blade - 5MM Dice,
Maintenance,RobotCoupe ,Blade - 5mm Slice,
Maintenance,RobotCoupe ,Blade - Grater,
Maintenance,RobotCoupe ,Hanger Issue ,
Maintenance,RobotCoupe ,Not getting on,
Maintenance,RO-WaterPurifier ,Leakage issue,
Maintenance,RO-WaterPurifier ,No Auto-Cut,
Maintenance,RO-WaterPurifier ,Not getting on,
Maintenance,RO-WaterPurifier ,Slow Flow,
Maintenance,RO-WaterPurifier ,Tank Needs Cleaning,
Maintenance,RO-WaterPurifier ,Tap Issue,
Maintenance,RO-WaterPurifier ,Taste is Bad,
Maintenance,Safe Locker ,Forgot Password,
Maintenance,Safe Locker ,Loose/Movable,
Maintenance,Safe Locker ,Not Closing,
Maintenance,Safe Locker ,Not getting on,
Maintenance,Safe Locker ,Not Opening,
Maintenance,Safe Locker ,Password Change,
Maintenance,Sealing Machine ,Heating Issue,
Maintenance,Sealing Machine ,Not getting on,
Maintenance,Sealing Machine ,Sheet Replace,
Maintenance,Sealing Machine ,Sheet Replacement ,
Maintenance,Signage ,Damaged,
Maintenance,Signage ,Letter Alignment ,
Maintenance,Signage ,Letter Fell Down,
Maintenance,Signage ,Needs Cleaning,
Maintenance,Signage ,Not getting on,
Maintenance,Signage ,Requirement ,
Maintenance,Double/Four  Door Chiller ,Castor Wheel,
Maintenance,Double/Four  Door Chiller ,Display Issue,
Maintenance,Double/Four  Door Chiller ,Door Broken,
Maintenance,Double/Four  Door Chiller ,Gasket Broken,
Maintenance,Double/Four  Door Chiller ,Ice Formation,
Maintenance,Double/Four  Door Chiller ,Not Cooling at all,
Maintenance,Double/Four  Door Chiller ,Required temp not met,
Maintenance,Double/Four  Door Chiller ,Water Leakage,
Maintenance,Double/Four  Door Chiller ,Wired Shelve,
Maintenance,Double/Four door Freezer ,Display Issue,
Maintenance,Double/Four door Freezer ,Door Broken,
Maintenance,Double/Four door Freezer ,Gasket Broken,
Maintenance,Double/Four door Freezer ,Ice Formation,
Maintenance,Double/Four door Freezer ,Not Cooling at all,
Maintenance,Double/Four door Freezer ,Not getting on,
Maintenance,Double/Four door Freezer ,Required temp not met,
Maintenance,Double/Four door Freezer ,Water Leakage,
Maintenance,Double/Four door Freezer ,Wired Shelve,
Maintenance,StaffRoom , Fan Not working ,
Maintenance,StaffRoom ,Fan Requirement ,
Maintenance,StaffRoom ,Lights Issue,
Maintenance,StaffRoom ,Painting Requirement ,
Maintenance,StaffRoom ,Pest Control,
Maintenance,StaffRoom ,Plumbing,
Maintenance,StaffRoom ,Power issue ,
Maintenance,StorageContainers ,Caster Wheels Damage,
Maintenance,StorageContainers ,Damage ,
Maintenance,StorageContainers ,Storage Container Glass Removed ,
Maintenance,Dine In Tables ,Laminate/SS Sheet Peeling,
Maintenance,Dine In Tables ,Paint,
Maintenance,Dine In Tables ,Sharp,
Maintenance,Dine In Tables ,Wobbling,
Maintenance,Tawa/GriddlePlate ,Burner Leakage,
Maintenance,Tawa/GriddlePlate ,Gas Pipe Leakage,
Maintenance,Tawa/GriddlePlate ,Leakage issue,
Maintenance,Tawa/GriddlePlate ,Low Temperature,
Maintenance,Tawa/GriddlePlate ,Needs Service,
Maintenance,Tawa/GriddlePlate ,Not getting on,
Maintenance,Tawa/GriddlePlate ,Shock ,
Maintenance,Thermometer-Infrared ,Not getting on,
Maintenance,Thermometer-Infrared ,Other,
Maintenance,Thermometer-Infrared ,Wrong Temp,
Maintenance,Thermometer-Probe ,Not getting on,
Maintenance,Thermometer-Probe ,Other,
Maintenance,Thermometer-Probe ,Wrong Temp,
Maintenance,Toilet/Restroom ,Western Commode block ,
Maintenance,Toilet/Restroom ,Health Faucet gun not working/Leakage ,
Maintenance,Toilet/Restroom ,Western Commode Seat Issue ,
Maintenance,Toilet/Restroom ,Always Running Water,
Maintenance,Toilet/Restroom ,Blockage ,
Maintenance,Toilet/Restroom ,No Water ,
Maintenance,Toilet/Restroom ,Toilet Exhaust issue ,
Maintenance,Toilet/Restroom ,Seepage issue,
Maintenance,Toilet/Restroom ,Water leakage issue ,
Maintenance,TortillaPress ,Heating isssue,
Maintenance,TortillaPress ,Hinges issue,
Maintenance,TortillaPress ,Not getting on,
Maintenance,TortillaPress ,Shock,
Maintenance,TortillaPress ,Warped Plate,
Maintenance,Trolley ,Castor Wheel Broken,
Maintenance,Trolley ,Handle Broken,
Maintenance,Trolley ,Other,
Maintenance,Trolley ,Requirement ,
Maintenance,TVMenu ,Alignment ,
Maintenance,TVMenu ,Brightness Issue,
Maintenance,TVMenu ,Not getting on,
Maintenance,TVMenu ,Remote,
Maintenance,TVMenu ,Screen Damaged,
Maintenance,UPS/Inverter ,Not Giving the Backup ,
Maintenance,UPS/Inverter ,Not working,
Maintenance,Utilities ,Energy Meter Not working ,
Maintenance,Utilities ,Gas meter Not working ,
Maintenance,Utilities ,Water meter Not working ,
Maintenance,VisiCooler/BackbarChiller ,Door Issue,
Maintenance,VisiCooler/BackbarChiller ,Light issue ,
Maintenance,VisiCooler/BackbarChiller ,Not getting on,
Maintenance,VisiCooler/BackbarChiller ,Temperature Issue,
Maintenance,VisiCooler/BackbarChiller ,Water Leakage,
Maintenance,WaterTaps ,3 Sink Taps Leakge/ Not working ,
Maintenance,WaterTaps ,Bathroom Taps Not working /Leakage ,
Maintenance,WaterTaps ,RO taps Not Working/Leakage,
Maintenance,WaterTaps ,Wash Basin Tap leakage ,
Maintenance,WaterTaps ,Wash Basin Tap Loosen ,
Maintenance,WeightScale-Large ,Display Issue,
Maintenance,WeightScale-Large ,Not Accurate,
Maintenance,WeightScale-Large ,Not Charging,
Maintenance,WeightScale-Large ,Not getting on,
Maintenance,WeightScale-Large ,Stamping ,
Maintenance,WeightScale-Small ,Display Issue,
Maintenance,WeightScale-Small ,Not Accurate,
Maintenance,WeightScale-Small ,Not Charging,
Maintenance,WeightScale-Small ,Not getting on,
Maintenance,WeightScale-Small ,Stamping ,
Maintenance,Under counter Freezer ,Display Issue,
Maintenance,Under counter Freezer ,Door Broken,
Maintenance,Under counter Freezer ,Gasket Broken,
Maintenance,Under counter Freezer ,Ice Formation,
Maintenance,Under counter Freezer ,Not Cooling at all,
Maintenance,Under counter Freezer ,Not getting on,
Maintenance,Under counter Freezer ,Required temp not met,
Maintenance,Under counter Freezer ,Water Leakage,
Maintenance,Under counter Freezer ,Wired Shelve,
Maintenance,Under counter chiller ,Display Issue,
Maintenance,Under counter chiller ,Door Broken,
Maintenance,Under counter chiller ,Gasket Broken,
Maintenance,Under counter chiller ,Ice Formation,
Maintenance,Under counter chiller ,Not Cooling at all,
Maintenance,Under counter chiller ,Not getting on,
Maintenance,Under counter chiller ,Required temp not met,
Maintenance,Under counter chiller ,Water Leakage,
Maintenance,Under counter chiller ,Wired Shelve,
Maintenance,Water test Reports-Doing by third Party ,Required  ,
Maintenance,Food test Reports-Doing by Third party ,Required  ,
Maintenance,TB HotBainMarie-Hotline ,Leaking,
Maintenance,TB HotBainMarie-Hotline ,Leg Bushes,
Maintenance,TB HotBainMarie-Hotline ,Not getting on,
Maintenance,TB HotBainMarie-Hotline ,On  - Heater not working ,
Maintenance,TB HotBainMarie-Hotline ,Shock,
Maintenance,TB HotBainMarie-Hotline ,Temp Issue,
Maintenance,Wall Fan ,Not working,
Maintenance,Wall Fan ,Needs Service,
Spare IT,KOT Printer ,,
Spare IT,Label Printer ,,
Spare IT,UPS/Inverter ,,
Spare IT,POS System ,,
Spare IT,Mouse ,,
Spare IT,Keyboard ,,
Spare IT,Laptop ,,
